vegetable,city,season,quantity,duration,gender,price
16,16,2,7504,1,1,45
14,27,3,7771,2,1,12
18,6,1,8320,3,2,18
10,19,1,1867,3,1,90
10,4,0,5147,2,1,46
1,15,1,4124,3,2,97
1,2,1,8826,3,2,36
17,10,2,7133,3,2,41
18,5,2,2566,1,2,34
16,21,1,8802,3,2,100
13,25,1,1097,2,1,60
11,27,0,2478,2,1,80
15,15,3,6529,2,1,28
7,23,0,7708,1,2,35
6,3,0,7032,1,1,29
9,4,2,6362,2,2,45
3,11,0,7767,1,2,17
4,14,1,5841,2,2,44
1,8,1,4496,3,1,40
17,6,1,3990,1,1,42
7,3,0,8471,1,2,29
8,4,3,9069,3,1,18
12,21,0,4982,3,2,55
17,11,0,9262,2,1,45
3,14,1,1234,1,2,101
8,6,2,4724,3,1,77
2,7,1,7523,1,1,39
9,10,3,3894,2,2,69
14,22,3,6609,3,2,39
12,16,3,8868,2,1,31
10,11,0,9584,3,2,89
2,20,0,5845,3,1,87
3,14,2,5578,3,1,87
8,22,3,9935,1,1,63
13,17,3,7036,3,1,115
18,24,1,8902,1,2,72
1,20,0,9691,3,2,64
0,4,1,5489,3,1,20
12,6,3,4944,2,1,57
1,9,3,9056,3,2,33
13,9,2,8256,2,1,46
1,19,0,5441,3,2,81
9,13,0,9958,2,2,43
12,11,1,6754,2,1,10
7,6,0,8281,3,1,51
16,20,2,5291,2,2,70
10,26,3,6975,1,2,80
17,19,3,4723,3,2,15
18,5,0,9164,3,1,87
9,26,2,9628,3,1,78
14,13,2,2826,1,2,19
9,13,3,3822,2,1,67
10,4,1,9508,2,1,108
10,14,2,4358,2,2,14
19,7,2,5905,2,1,21
4,10,0,8010,1,2,60
13,5,2,6772,3,1,116
15,8,0,4089,3,2,32
19,26,3,6938,3,1,64
4,7,3,8670,2,1,43
15,5,0,2944,2,1,103
6,27,2,5283,3,1,31
19,19,0,5968,1,2,38
8,10,0,3229,3,2,60
18,23,3,6528,3,2,119
2,23,0,6184,1,1,78
19,2,0,3115,3,1,38
11,15,1,1566,2,1,49
